fixture_id,date,status,home_team,away_team,home_goals,away_goals,home_attack_form,home_defense_form,away_attack_form,away_defense_form
1005694,2023-05-11T00:30:00+00:00,FT,Cruzeiro,Fluminense,0,2,1.9692307692307691,0.6615384615384616,1.7076923076923078,1.523076923076923
1005691,2023-05-11T00:30:00+00:00,FT,Palmeiras,Gremio,4,1,3.2461538461538457,0.7692307692307694,1.9230769230769227,1.7076923076923076
1005696,2023-05-11T22:00:00+00:00,FT,Coritiba,Vasco DA Gama,1,1,0.6923076923076922,2.446153846153846,1.0307692307692307,1.1846153846153846
1005690,2023-05-11T22:30:00+00:00,FT,Botafogo,Corinthians,3,0,2.276923076923077,0.8615384615384617,1.123076923076923,1.6461538461538459
1005697,2023-05-11T23:00:00+00:00,FT,Fortaleza EC,Sao Paulo,0,0,2.1999999999999997,1.0923076923076922,1.7846153846153847,0.5230769230769232
1005707,2023-05-13T19:00:00+00:00,FT,Bahia,Flamengo,2,3,1.127962085308057,1.786729857819905,1.7061611374407581,1.2511848341232228
1005701,2023-05-13T21:30:00+00:00,FT,Palmeiras,RB Bragantino,1,1,3.535545023696682,0.8578199052132702,1.8009478672985781,2.2369668246445498
1005699,2023-05-13T21:30:00+00:00,FT,Fluminense,Cuiaba,2,0,1.8199052132701425,0.9383886255924171,0.8720379146919431,2.3981042654028437
1005704,2023-05-14T00:00:00+00:00,FT,Atletico-MG,Internacional,2,0,1.9526066350710898,0.8341232227488151,0.47393364928909965,1.4691943127962084
1005705,2023-05-14T19:00:00+00:00,FT,Gremio,Fortaleza EC,0,0,1.5687203791469193,2.5876777251184833,1.3554502369668247,0.6729857819905213
1005702,2023-05-14T19:00:00+00:00,FT,Corinthians,Sao Paulo,1,1,0.6919431279620853,2.1658767772511847,1.0995260663507112,0.32227488151658784
1005700,2023-05-14T19:00:00+00:00,FT,Vasco DA Gama,Santos,0,1,1.018957345971564,1.113744075829384,1.9194312796208528,0.9289099526066349
1005703,2023-05-14T21:30:00+00:00,FT,Goias,Botafogo,2,1,0.3412322274881517,2.4834123222748814,2.5545023696682465,0.5308056872037916
1005708,2023-05-14T21:30:00+00:00,FT,America Mineiro,Cruzeiro,0,4,1.3649289099526065,2.3601895734597154,1.2132701421800949,1.1753554502369667
1005706,2023-05-14T21:30:00+00:00,FT,Atletico Paranaense,Coritiba,3,2,1.6018957345971565,0.8246445497630333,0.81042654028436,1.890995260663507
1005717,2023-05-20T19:00:00+00:00,FT,Bahia,Goias,1,1,1.4466165413533836,2.2300751879699248,0.9473684210526314,1.9413533834586467
1005710,2023-05-20T21:30:00+00:00,FT,Botafogo,Fluminense,1,0,1.986466165413534,1.0676691729323309,1.8857142857142861,0.5954887218045114
1005718,2023-05-20T21:30:00+00:00,FT,America Mineiro,Fortaleza EC,2,1,0.8661654135338346,2.9593984962406013,0.8601503759398498,0.4270676691729324
1005711,2023-05-20T21:30:00+00:00,FT,Sao Paulo,Vasco DA Gama,4,2,1.0631578947368423,0.5699248120300753,0.6466165413533836,1.0721804511278197
1005716,2023-05-20T21:30:00+00:00,FT,Coritiba,Atletico-MG,1,2,1.245112781954887,2.2962406015037593,1.9699248120300752,0.5293233082706768
1005713,2023-05-20T21:30:00+00:00,FT,RB Bragantino,Atletico Paranaense,2,0,1.5082706766917295,1.784962406015038,2.112781954887218,1.2541353383458647
1005712,2023-05-21T00:00:00+00:00,FT,Santos,Palmeiras,0,0,1.5834586466165415,0.5894736842105264,2.6090225563909777,0.9097744360902257
1005709,2023-05-21T19:00:00+00:00,FT,Flamengo,Corinthians,1,0,2.1789473684210527,1.5248120300751882,0.8045112781954887,1.7398496240601506
1005715,2023-05-21T21:30:00+00:00,FT,Gremio,Internacional,3,1,0.9954887218045114,1.642105263157895,0.30075187969924827,1.663157894736842
1005714,2023-05-22T23:00:00+00:00,FT,Cruzeiro,Cuiaba,0,1,2.2315789473684213,0.7458646616541355,0.5533834586466166,2.2526315789473688
1005726,2023-05-27T19:00:00+00:00,FT,Atletico Paranaense,Gremio,1,2,1.3647401651287034,1.518212724623604,1.705196697425935,1.414764448761535
1005727,2023-05-27T19:00:00+00:00,FT,Fortaleza EC,Vasco DA Gama,2,0,0.9096648858669258,0.9839728023312287,1.125789218067023,2.1087906750849927
1005719,2023-05-27T21:30:00+00:00,FT,Flamengo,Cruzeiro,1,1,1.7615347255949494,0.9849441476444879,1.441476444876154,0.8358426420592522
1005728,2023-05-27T21:30:00+00:00,FT,Cuiaba,Coritiba,1,1,0.7115104419621175,1.455075279261778,1.1583292860611947,2.1913550267119963
1005721,2023-05-28T00:00:00+00:00,FT,Sao Paulo,Goias,2,1,2.1029626032054396,1.0762506070908207,0.9660029140359397,1.608062166100049
1005725,2023-05-28T19:00:00+00:00,FT,Internacional,Bahia,2,0,0.5483244293346285,2.1364740165128704,1.2884895580378826,1.7945604662457504
1005722,2023-05-28T19:00:00+00:00,FT,Corinthians,Fluminense,2,0,0.5196697425934921,1.4779018941233613,1.2180670228266153,0.7387081107333658
1005723,2023-05-28T21:30:00+00:00,FT,RB Bragantino,Santos,2,0,1.682370082564352,1.1529868868382713,1.0228266148615834,0.3807673627974746
1005724,2023-05-28T21:30:00+00:00,FT,Atletico-MG,Palmeiras,1,1,1.9805730937348227,0.6959689169499758,1.6852841185041287,0.5876639145216126
1005720,2023-05-28T22:00:00+00:00,FT,Botafogo,America Mineiro,2,0,1.6372025254978149,0.6896551724137933,1.267605633802817,2.2656629431762996
1005737,2023-06-03T19:00:00+00:00,FT,Fortaleza EC,Bahia,0,0,1.2878667724028547,0.6426645519429025,0.8415543219666932,1.8658207771609834
1005738,2023-06-03T21:30:00+00:00,FT,America Mineiro,Corinthians,2,0,0.8279143536875497,2.1735130848532913,1.033148295003965,0.965265662172879
1005736,2023-06-03T21:30:00+00:00,FT,Atletico Paranaense,Botafogo,1,0,1.238223632038065,1.685329103885805,1.7630452022204604,0.45043616177636814
1005734,2023-06-03T21:30:00+00:00,FT,Cruzeiro,Atletico-MG,0,1,1.288342585249802,0.8927835051546393,1.6404440919904837,0.8014274385408405
1005732,2023-06-04T00:00:00+00:00,FT,Santos,Internacional,1,1,0.6680412371134022,0.942426645519429,1.0518636003172086,1.395400475812847
1005729,2023-06-04T19:00:00+00:00,FT,Fluminense,RB Bragantino,2,1,0.795559080095163,1.1762093576526567,1.7925455987311663,0.7530531324345761
1005735,2023-06-04T19:00:00+00:00,FT,Gremio,Sao Paulo,2,1,1.807454401268834,1.2708961141950834,2.0672482157018237,1.0498017446471053
1005731,2023-06-04T21:30:00+00:00,FT,Palmeiras,Coritiba,3,1,1.4475812846946872,0.730689928628073,1.103409992069786,1.7781126090404442
1005733,2023-06-04T21:30:00+00:00,FT,Goias,Cuiaba,0,1,0.9777954004758128,1.7440126883425857,0.8115781126090404,1.297224425059477
1005730,2023-06-05T23:00:00+00:00,FT,Vasco DA Gama,Flamengo,1,4,0.7352894528152262,2.0710547184773986,1.4973830293417925,0.9901665344964317
1005746,2023-06-10T19:00:00+00:00,FT,Coritiba,Santos,0,0,1.068019404308591,2.1962860570653593,0.7816493662302436,0.9621303009754317
1005742,2023-06-10T21:30:00+00:00,FT,Corinthians,Cuiaba,1,1,0.6795680976474884,1.3193886599551408,0.8760628031923217,0.8532679568097652
1005744,2023-06-10T21:30:00+00:00,FT,Atletico-MG,RB Bragantino,1,1,1.421261280058422,0.527150383391581,1.5213082259663036,1.1798028271868972
1005747,2023-06-10T21:30:00+00:00,FT,Bahia,Cruzeiro,2,2,0.5535444160450682,1.2272703562672789,0.8474257993844874,0.9294768139377185
1005740,2023-06-11T00:00:00+00:00,FT,Botafogo,Fortaleza EC,2,0,1.1596682489176364,0.6385165093109386,0.8471128266652757,0.4227218194147411
1005748,2023-06-11T14:00:00+00:00,FT,America Mineiro,Atletico Paranaense,2,2,1.2290438683428095,1.4296593813572587,1.1566950080851288,1.1085493714464558
1005745,2023-06-11T19:00:00+00:00,FT,Internacional,Vasco DA Gama,2,1,1.0341140263940327,1.260080329664598,0.8258828438787754,2.7312085963173542
1005741,2023-06-11T19:00:00+00:00,FT,Sao Paulo,Palmeiras,0,2,1.7019978091909658,1.3749934797350163,1.9788743414532368,0.8228574409263993
